cityname,lat,long,temp,Humidity,Cloudiness,Wind_Speed,Country,Date
qaanaaq,77.48,-69.36,35.11,85,0,1.39,GL,1592502877
thompson,55.74,-97.86,35.6,93,90,13.87,CA,1592502878
sao filipe,14.9,-24.5,82.54,57,0,12.57,CV,1592502772
grindavik,63.84,-22.43,50.0,76,75,23.04,IS,1592502700
besikduzu,41.05,39.23,75.2,78,75,3.36,TR,1592503101
broome,42.25,-75.83,82.99,60,31,3.0,US,1592502916
abu zabad,12.35,29.25,76.69,70,80,26.78,SD,1592503102
port alfred,-33.59,26.89,57.99,77,0,4.0,ZA,1592502792
saint-philippe,-21.36,55.77,69.8,73,75,18.34,RE,1592502724
fairbanks,64.84,-147.72,68.0,55,90,4.05,US,1592503102
jamestown,42.1,-79.24,78.8,54,75,8.05,US,1592503046
kapaa,22.08,-159.32,78.01,88,90,10.29,US,1592502759
narsaq,60.92,-46.05,42.8,70,75,10.29,GL,1592503102
victoria,22.29,114.16,84.0,74,4,5.01,HK,1592502529
camacha,33.08,-16.33,71.6,73,40,11.41,PT,1592503103
new norfolk,-42.78,147.06,41.0,83,100,2.35,AU,1592502738
hofn,64.25,-15.21,50.0,81,90,8.05,IS,1592503103
albany,42.6,-73.97,84.99,47,4,5.93,US,1592502480
longyearbyen,78.22,15.64,44.6,65,75,5.82,SJ,1592502689
severo-kurilsk,50.68,156.12,41.54,87,60,8.43,RU,1592502747
norrtalje,59.76,18.7,66.0,76,29,1.01,SE,1592503104
grand-santi,4.25,-54.38,88.52,60,17,4.56,GF,1592503104
opuwo,-18.06,13.84,60.96,41,0,8.05,NA,1592503104
bintulu,3.17,113.03,78.8,94,75,5.82,MY,1592503104
aykhal,66.0,111.5,59.0,47,78,4.47,RU,1592503104
puerto ayora,-0.74,-90.35,80.6,57,20,23.04,EC,1592502719
saskylakh,71.92,114.08,62.73,62,58,5.77,RU,1592503105
rikitea,-23.12,-134.97,76.19,84,93,16.71,PF,1592502705
tessalit,20.2,1.01,106.38,7,0,8.16,ML,1592503105
punta arenas,-53.15,-70.92,39.2,86,90,14.99,CL,1592502687
cape town,-33.93,18.42,62.6,48,0,6.93,ZA,1592502612
kodiak,57.79,-152.41,50.0,81,90,12.75,US,1592502917
